chrom_HNI,gene_start_HNI,gene_end_HNI,ensemblGeneID_HNI,gene_symbol_hni,description_HNI,ensemblGeneID_HdrR,gene_start_HdrR,gene_end_HdrR,gene_symbol_HdrR,description_HdrR,popStat_phenotype_annotation
3,26639066,26646645,ENSORLG00020021696,NA,description:cholinergic receptor; nicotinic; alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070822-1],ENSORLG00000013118,28228605,28234786,chrna3,gene_symbol:chrna3 description:neuronal acetylcholine receptor subunit alpha-3 [Source:NCBI gene;Acc:101159658],highSexFst
3,26628176,26639046,ENSORLG00020021709,NA,description:cholinergic receptor; nicotinic; beta 4 (neuronal) [Source:ZFIN;Acc:ZDB-GENE-120809-1],ENSORLG00000013114,28216247,28228584,chrnb4,gene_symbol:chrnb4 description:neuronal acetylcholine receptor subunit beta-4-like [Source:NCBI gene;Acc:101159423],highSexFst
3,26600535,26605479,ENSORLG00020021737,NA,NA,NA,NA,NA,NA,NA,highSexFst
4,20126971,20131804,ENSORLG00020004074,NA,NA,NA,NA,NA,NA,NA,highSexFst
4,20787654,20787915,ENSORLG00020003543,gmds,gene_symbol:gmds description:GDP-mannose 4;6-dehydratase [Source:NCBI gene;Acc:101160546],ENSORLG00000012583,20873275,21051957,gmds,gene_symbol:gmds description:GDP-mannose 4;6-dehydratase [Source:NCBI gene;Acc:101160546],highSexFst
4,20753855,20781762,ENSORLG00020003627,NA,NA,NA,NA,NA,NA,NA,highSexFst
5,10401835,10447638,ENSORLG00020017613,NA,description:kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323],ENSORLG00000005301,10552102,10625956,KIF5A,gene_symbol:KIF5A description:kinesin heavy chain [Source:NCBI gene;Acc:101162282],highSexFst
5,13089825,13094752,ENSORLG00020014489,NA,NA,NA,NA,NA,NA,NA,highSexFst
6,11851204,11851255,ENSORLG00020013475,NA,NA,NA,NA,NA,NA,NA,highSexFst
6,18062023,18062504,ENSORLG00020001699,NA,description:SH3 and multiple ankyrin repeat domains 3a [Source:ZFIN;Acc:ZDB-GENE-060503-369],ENSORLG00000009936,20291195,20419508,SHANK3,gene_symbol:SHANK3 description:SH3 and multiple ankyrin repeat domains 3 [Source:NCBI gene;Acc:101169284],highSexFst
6,24885780,24891424,ENSORLG00020013956,NA,description:UDP-GlcNAc:betaGal beta-1;3-N-acetylglucosaminyltransferase 9 [Source:ZFIN;Acc:ZDB-GENE-060503-611],ENSORLG00000014959,27374042,27381757,b3gnt9,gene_symbol:b3gnt9 description:UDP-GlcNAc:betaGal beta-1;3-N-acetylglucosaminyltransferase 9 [Source:NCBI gene;Acc:101174101],highSexFst
6,24875941,24883886,ENSORLG00020013997,NA,description:Bardet-Biedl syndrome 2 [Source:NCBI gene;Acc:259187],ENSORLG00000014949,27365194,27370928,bbs2,gene_symbol:bbs2 description:Bardet-Biedl syndrome 2 [Source:NCBI gene;Acc:101166472],highSexFst
6,24865343,24875310,ENSORLG00020014012,NA,description:SET domain containing 6; protein lysine methyltransferase [Source:NCBI gene;Acc:322348],ENSORLG00000014911,27347053,27357411,setd6,gene_symbol:setd6 description:SET domain containing 6; protein lysine methyltransferase [Source:NCBI gene;Acc:101166221],highSexFst
6,24859681,24868608,ENSORLG00020014130,NA,NA,NA,NA,NA,NA,NA,highSexFst
6,24857883,24859787,ENSORLG00020014161,NA,description:CTF8; chromosome transmission fidelity factor 8 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050419-148],ENSORLG00000023926,27337281,27339560,chtf8,gene_symbol:chtf8 description:chromosome transmission fidelity factor 8 [Source:NCBI gene;Acc:101165976],highSexFst
6,24850517,24854575,ENSORLG00020014184,NA,description:hyaluronan synthase 3 [Source:ZFIN;Acc:ZDB-GENE-021118-1],ENSORLG00000025653,27323615,27335940,has3,gene_symbol:has3 description:hyaluronan synthase 3 [Source:NCBI gene;Acc:101165478],highSexFst
7,19254842,19260091,ENSORLG00020000417,NA,NA,NA,NA,NA,NA,NA,highSexFst
7,19293187,19299276,ENSORLG00020015747,NA,NA,NA,NA,NA,NA,NA,highSexFst
7,19283759,19293414,ENSORLG00020015772,NA,description:inflammation and lipid regulator with UBA-like and NBR1-like domains [Source:HGNC Symbol;Acc:HGNC:21215],ENSORLG00000013188,19713269,19722662,ILRUN,gene_symbol:ILRUN description:uncharacterized protein C6orf106 homolog [Source:NCBI gene;Acc:101160810],highSexFst
7,19257914,19279970,ENSORLG00020015796,NA,description:UHRF1 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-090312-82],ENSORLG00000013171,19687661,19704803,uhrf1bp1,gene_symbol:uhrf1bp1 description:UHRF1 binding protein 1 [Source:NCBI gene;Acc:101163977],highSexFst
7,19256562,19257268,ENSORLG00020016010,NA,NA,NA,NA,NA,NA,NA,highSexFst
7,25828099,25834562,ENSORLG00020000120,NA,NA,NA,NA,NA,NA,NA,highSexFst
7,25834658,25842236,ENSORLG00020005759,NA,NA,NA,NA,NA,NA,NA,highSexFst
8,19685745,19687177,ENSORLG00020004779,NA,description:si:dkeyp-69e1.8 [Source:ZFIN;Acc:ZDB-GENE-070912-676],ENSORLG00000015364,21074054,21076769,si,gene_symbol:si:dkeyp-69e1.8 description:si:dkeyp-69e1.8 [Source:ZFIN;Acc:ZDB-GENE-070912-676],highSexFst
8,19677319,19682780,ENSORLG00020004813,NA,description:HMG box domain containing 4a [Source:ZFIN;Acc:ZDB-GENE-070912-675],ENSORLG00000015359,21064350,21070044,hmgxb4a,gene_symbol:hmgxb4a description:HMG-box containing 4 [Source:NCBI gene;Acc:101156741],highSexFst
8,19668310,19677236,ENSORLG00020004834,NA,NA,NA,NA,NA,NA,NA,highSexFst
8,19660528,19669266,ENSORLG00020004851,NA,description:FAD-dependent oxidoreductase domain containing 2 [Source:NCBI gene;Acc:767722],ENSORLG00000015336,21046127,21054527,foxred2,gene_symbol:foxred2 description:FAD dependent oxidoreductase domain containing 2 [Source:NCBI gene;Acc:101156499],highSexFst
8,19657237,19659889,ENSORLG00020004867,NA,NA,NA,NA,NA,NA,NA,highSexFst
8,19653393,19659889,ENSORLG00020004893,NA,description:minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1],ENSORLG00000010517,21035623,21046048,mcm5,gene_symbol:mcm5 description:minichromosome maintenance complex component 5 [Source:NCBI gene;Acc:101167880],highSexFst
9,741969,744827,ENSORLG00020000385,NA,description:doublesex and mab-3 related transcription factor 3a [Source:NCBI gene;Acc:450035],ENSORLG00000024387,1173088,1176083,dmrt3a,gene_symbol:dmrt3a description:doublesex and mab-3 related transcription factor 3 [Source:NCBI gene;Acc:111947862],highSexFst
9,744087,749104,ENSORLG00020013974,dmy,NA,NA,NA,NA,NA,NA,highSexFst
9,728230,736345,ENSORLG00020014026,NA,description:doublesex and mab-3 related transcription factor 2a [Source:ZFIN;Acc:ZDB-GENE-990621-7],ENSORLG00000022893,1154532,1163506,dmrt2a,gene_symbol:dmrt2a description:doublesex- and mab-3-related transcription factor 2 [Source:NCBI gene;Acc:101163154],highSexFst
9,782359,791811,ENSORLG00020013869,NA,description:KN motif and ankyrin repeat domains 1a [Source:ZFIN;Acc:ZDB-GENE-060526-215],ENSORLG00000020812,1219912,1235054,kank1a,gene_symbol:kank1a description:KN motif and ankyrin repeat domains 1 [Source:NCBI gene;Acc:101162911],highSexFst
9,12245205,12246255,ENSORLG00020015479,NA,description:chemokine-like receptor 1 like 2 [Source:ZFIN;Acc:ZDB-GENE-060526-127],ENSORLG00000006867,12863091,12864140,cmklr1,gene_symbol:cmklr1 description:chemerin chemokine-like receptor 1 [Source:NCBI gene;Acc:101164982],highSexFst
9,12220457,12241017,ENSORLG00020015511,NA,description:WSC domain containing 2 [Source:NCBI gene;Acc:101164728],ENSORLG00000006858,12837628,12856103,wscd2,gene_symbol:wscd2 description:WSC domain containing 2 [Source:NCBI gene;Acc:101164728],highSexFst
9,17171257,17172125,ENSORLG00020005296,NA,NA,NA,NA,NA,NA,NA,highSexFst
9,25266635,25288402,ENSORLG00020019429,NA,NA,NA,NA,NA,NA,NA,highSexFst
10,12544436,12549191,ENSORLG00020017288,NA,NA,NA,NA,NA,NA,NA,highSexFst
10,12537462,12543167,ENSORLG00020017314,NA,NA,NA,NA,NA,NA,NA,highSexFst
10,12526041,12537435,ENSORLG00020017417,NA,NA,NA,NA,NA,NA,NA,highSexFst
10,12501416,12510258,ENSORLG00020017460,NA,description:cholinergic receptor; nicotinic; beta 5b [Source:ZFIN;Acc:ZDB-GENE-120809-5],ENSORLG00000003262,13839263,13854156,chrnb5b,gene_symbol:chrnb5b description:neuronal acetylcholine receptor subunit beta-2-like [Source:NCBI gene;Acc:101163178],highSexFst
10,13828994,13834394,ENSORLG00020014597,NA,NA,NA,NA,NA,NA,NA,highSexFst
10,13817466,13825174,ENSORLG00020014603,NA,description:protocadherin 2 alpha a 15 [Source:ZFIN;Acc:ZDB-GENE-041118-15],ENSORLG00000004181,15207915,15210299,pcdh2aa15,gene_symbol:pcdh2aa15 description:protocadherin 2 alpha a 15 [Source:ZFIN;Acc:ZDB-GENE-041118-15],highSexFst
10,13811314,13816440,ENSORLG00020014615,NA,description:protocadherin 2 alpha a 15 [Source:ZFIN;Acc:ZDB-GENE-041118-15],ENSORLG00000027606,15198651,15206827,NA,,highSexFst
10,13888078,13890267,ENSORLG00020014556,NA,NA,NA,NA,NA,NA,NA,highPi_highTajimaD_highSexFst_
10,13879152,13885493,ENSORLG00020014569,NA,description:protocadherin 2 alpha a 1 [Source:ZFIN;Acc:ZDB-GENE-041118-13],ENSORLG00000021994,15272198,15278728,pcdh2aa1,gene_symbol:pcdh2aa1 description:protocadherin 2 alpha a 1 [Source:ZFIN;Acc:ZDB-GENE-041118-13],highPi_highTajimaD_highSexFst_
10,13868395,13871701,ENSORLG00020014579,NA,description:si:ch73-379j16.2 [Source:ZFIN;Acc:ZDB-GENE-141215-68],ENSORLG00000028208,15252344,15258980,si,gene_symbol:si:ch73-379j16.2 description:si:ch73-379j16.2 [Source:ZFIN;Acc:ZDB-GENE-141215-68],highPi_highTajimaD_highSexFst_
10,13857738,13868100,ENSORLG00020014584,NA,,ENSORLG00000030495,15246909,15255840,NA,,highPi_highTajimaD_highSexFst_
12,18946736,18950000,ENSORLG00020008961,NA,NA,NA,NA,NA,NA,NA,highSexFst
12,18911673,18912059,ENSORLG00020008990,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,7438921,7443531,ENSORLG00020016403,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,7431337,7437945,ENSORLG00020016439,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,7425426,7428025,ENSORLG00020016449,NA,description:zgc:136892 [Source:ZFIN;Acc:ZDB-GENE-060421-4745],ENSORLG00000002938,8802872,8807120,zgc,gene_symbol:zgc:136892 description:zgc:136892 [Source:ZFIN;Acc:ZDB-GENE-060421-4745],highSexFst
14,7419742,7420378,ENSORLG00020016493,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,7416656,7417295,ENSORLG00020016508,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,15630763,15663017,ENSORLG00020016569,NA,NA,NA,NA,NA,NA,NA,highSexFst
14,7412866,7413730,ENSORLG00020016595,NA,description:zgc:112437 [Source:ZFIN;Acc:ZDB-GENE-050417-293],ENSORLG00000002920,8785449,8790708,zgc,gene_symbol:zgc:112437 description:zgc:112437 [Source:ZFIN;Acc:ZDB-GENE-050417-293],highSexFst
14,7410314,7412371,ENSORLG00020016600,NA,description:claudin-4-like [Source:NCBI gene;Acc:101161498],ENSORLG00000002915,8787803,8789690,NA,,highSexFst
14,7408836,7411741,ENSORLG00020016642,NA,description:claudin b [Source:ZFIN;Acc:ZDB-GENE-010328-2],ENSORLG00000030640,8785802,8786806,cldnb,gene_symbol:cldnb description:claudin b [Source:ZFIN;Acc:ZDB-GENE-010328-2],highSexFst
14,7401128,7401587,ENSORLG00020016661,NA,description:claudin h [Source:ZFIN;Acc:ZDB-GENE-010328-8],ENSORLG00000002912,8774574,8778569,cldnh,gene_symbol:cldnh description:claudin h [Source:ZFIN;Acc:ZDB-GENE-010328-8],highSexFst
14,17805735,17834853,ENSORLG00020020426,NA,NA,NA,NA,NA,NA,NA,highSexFst
15,12852744,12898399,ENSORLG00020015018,NA,description:astrotactin 1 [Source:ZFIN;Acc:ZDB-GENE-050320-140],ENSORLG00000013099,19834800,20171735,astn1,gene_symbol:astn1 description:astrotactin 1 [Source:NCBI gene;Acc:101170373],highSexFst
16,10050303,10095208,ENSORLG00020022638,NA,NA,NA,NA,NA,NA,NA,highSexFst
16,18833425,18846949,ENSORLG00020007116,NA,NA,NA,NA,NA,NA,NA,highSexFst
16,18800381,18815900,ENSORLG00020007146,NA,description:glutamate receptor; ionotropic; N-methyl D-aspartate 2D; b [Source:ZFIN;Acc:ZDB-GENE-100920-7],ENSORLG00000011448,19662047,19700707,grin2db,gene_symbol:grin2db description:glutamate receptor ionotropic; NMDA 2D [Source:NCBI gene;Acc:101164674],highSexFst
16,20925903,20927401,ENSORLG00020000015,mrpl17,gene_symbol:mrpl17 description:mitochondrial ribosomal protein L17 [Source:NCBI gene;Acc:101161504],ENSORLG00000028920,21775705,21780637,mrpl17,gene_symbol:mrpl17 description:mitochondrial ribosomal protein L17 [Source:NCBI gene;Acc:101161504],highSexFst
16,20938966,20946448,ENSORLG00020001700,NA,NA,NA,NA,NA,NA,NA,highSexFst
16,20934329,20936090,ENSORLG00020001719,NA,,ENSORLG00000013603,21788067,21789754,tryp,gene_symbol:tryp description:trypsinogen [Source:NCBI gene;Acc:100125451],highSexFst
16,20927751,20929900,ENSORLG00020001739,NA,NA,NA,NA,NA,NA,NA,highSexFst
16,20903180,20923548,ENSORLG00020001768,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2541504,2541573,ENSORLG00020006355,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2541504,2541572,ENSORLG00020006363,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2541104,2541172,ENSORLG00020006370,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2541104,2541171,ENSORLG00020006375,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2540769,2540878,ENSORLG00020006380,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2540636,2540926,ENSORLG00020006390,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2539421,2543506,ENSORLG00020006406,NA,description:ribosomal protein S8 [Source:NCBI gene;Acc:101168488],ENSORLG00000003239,3740934,3743752,rps8a,gene_symbol:rps8a description:ribosomal protein S8 [Source:NCBI gene;Acc:101168488],highSexFst
17,2531459,2539210,ENSORLG00020006479,NA,description:HECT domain E3 ubiquitin protein ligase 3 [Source:NCBI gene;Acc:101168239],ENSORLG00000003223,3732668,3740937,hectd3,gene_symbol:hectd3 description:HECT domain E3 ubiquitin protein ligase 3 [Source:NCBI gene;Acc:101168239],highSexFst
17,2520541,2528972,ENSORLG00020006504,NA,NA,NA,NA,NA,NA,NA,highSexFst
17,2508785,2515811,ENSORLG00020006525,NA,,ENSORLG00000026471,3706471,3713201,NA,description:uncharacterized LOC105356108 [Source:NCBI gene;Acc:105356108],highSexFst
17,2500479,2500907,ENSORLG00020006551,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19717392,19724338,ENSORLG00020017890,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19702455,19707737,ENSORLG00020017900,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19701295,19706880,ENSORLG00020017911,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19700001,19701426,ENSORLG00020017936,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19797476,19797534,ENSORLG00020017844,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,19787541,19788114,ENSORLG00020017859,NA,NA,NA,NA,NA,NA,NA,highSexFst
12,26266260,24083675,ENSORLG00020013519,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,24054027,24060425,ENSORLG00020013544,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,24054611,24054686,ENSORLG00020013560,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,26444393,26448968,ENSORLG00020000289,NA,description:tRNA methyltransferase 10A [Source:ZFIN;Acc:ZDB-GENE-130530-594],ENSORLG00000012069,29482757,29487920,trmt10a,gene_symbol:trmt10a description:tRNA methyltransferase 10A [Source:NCBI gene;Acc:101158639],highSexFst
18,26440323,26445916,ENSORLG00020011532,NA,NA,NA,NA,NA,NA,NA,highSexFst
18,26410605,26435829,ENSORLG00020011567,NA,description:solute carrier family 1 member 1 [Source:ZFIN;Acc:ZDB-GENE-040718-414],ENSORLG00000012050,29454502,29468096,slc1a1,gene_symbol:slc1a1 description:solute carrier family 1 member 1 [Source:NCBI gene;Acc:101172361],highSexFst
18,26485117,26493278,ENSORLG00020011493,NA,description:3-hydroxyacyl-CoA dehydratase 4 [Source:NCBI gene;Acc:101172608],ENSORLG00000012074,29521943,29523823,HACD4,gene_symbol:HACD4 description:3-hydroxyacyl-CoA dehydratase 4 [Source:NCBI gene;Acc:101172608],_highTajimaD_highSexFst_
18,26469619,26472646,ENSORLG00020011502,NA,,ENSORLG00000023851,29504417,29508460,C4orf54,gene_symbol:C4orf54 description:uncharacterized LOC101158890 [Source:NCBI gene;Acc:101158890],_highTajimaD_highSexFst_
19,11173359,11180004,ENSORLG00020000759,chac2,NA,NA,NA,NA,NA,NA,highSexFst
19,11166261,11177828,ENSORLG00020004822,NA,,ENSORLG00000023995,12315099,12320970,NA,,highSexFst
19,11348427,11350000,ENSORLG00020004338,NA,description:potassium voltage-gated channel; subfamily G; member 3 [Source:ZFIN;Acc:ZDB-GENE-111111-9],ENSORLG00000030175,12510698,12516230,kcng3,gene_symbol:kcng3 description:potassium voltage-gated channel subfamily G member 3 [Source:NCBI gene;Acc:101167596],highSexFst
19,11336097,11344536,ENSORLG00020004351,NA,description:cytochrome c oxidase subunit 7A2 like [Source:ZFIN;Acc:ZDB-GENE-030131-7691],ENSORLG00000027806,12493918,12502944,cox7a2l,gene_symbol:cox7a2l description:cytochrome c oxidase subunit 7A-related protein; mitochondrial [Source:NCBI gene;Acc:101160874],highSexFst
19,11324453,11331017,ENSORLG00020004368,NA,description:phosphatidylinositol glycan anchor biosynthesis; class F [Source:ZFIN;Acc:ZDB-GENE-040426-1801],ENSORLG00000026182,12484090,12490269,pigf,gene_symbol:pigf description:phosphatidylinositol glycan anchor biosynthesis class F [Source:NCBI gene;Acc:105357965],highSexFst
19,11320550,11324375,ENSORLG00020004374,NA,description:cysteine-rich PDZ-binding protein [Source:NCBI gene;Acc:550592],ENSORLG00000027213,12478229,12484502,cript,gene_symbol:cript description:CXXC repeat containing interactor of PDZ3 domain [Source:NCBI gene;Acc:101161117],highSexFst
19,11312511,11320081,ENSORLG00020004411,NA,NA,NA,NA,NA,NA,NA,highSexFst
19,11301302,11310605,ENSORLG00020004470,NA,NA,NA,NA,NA,NA,NA,highSexFst
19,11300001,11300864,ENSORLG00020004555,NA,NA,NA,NA,NA,NA,NA,highSexFst
19,14934771,14950000,ENSORLG00020001295,NA,NA,NA,NA,NA,NA,NA,highSexFst
19,14916372,14920655,ENSORLG00020001334,NA,NA,NA,NA,NA,NA,NA,highSexFst
20,2890552,2892420,ENSORLG00020011085,NA,,ENSORLG00000028489,2263935,2268678,NA,,highSexFst
20,2888806,2890303,ENSORLG00020011095,NA,NA,NA,NA,NA,NA,NA,highSexFst
20,2850148,2850188,ENSORLG00020011418,NA,NA,NA,NA,NA,NA,NA,highSexFst
21,9434173,9446224,ENSORLG00020010687,NA,description:solute carrier family 9 member 2 [Source:ZFIN;Acc:ZDB-GENE-070912-541],ENSORLG00000012399,10141652,10162456,slc9a2,gene_symbol:slc9a2 description:sodium/hydrogen exchanger 2 [Source:NCBI gene;Acc:101173750],highSexFst
21,9410533,9431590,ENSORLG00020010755,NA,NA,NA,NA,NA,NA,NA,highSexFst
21,9400497,9401744,ENSORLG00020010781,NA,description:si:dkey-4e7.3 [Source:ZFIN;Acc:ZDB-GENE-070912-542],ENSORLG00000027912,10091716,10098084,si,gene_symbol:si:dkey-4e7.3 description:inosine-uridine preferring nucleoside hydrolase [Source:NCBI gene;Acc:101168254],highSexFst
22,1158136,1199444,ENSORLG00020002902,NA,description:solute carrier family 8 member 3 [Source:ZFIN;Acc:ZDB-GENE-050810-1],ENSORLG00000009443,1597531,1671344,slc8a3,gene_symbol:slc8a3 description:solute carrier family 8 member A3 [Source:NCBI gene;Acc:101162643],highSexFst
22,1241386,1249550,ENSORLG00020002890,NA,description:mitogen-activated protein kinase kinase kinase 9 [Source:ZFIN;Acc:ZDB-GENE-081113-5],ENSORLG00000009460,1678344,1688797,map3k9,gene_symbol:map3k9 description:mitogen-activated protein kinase kinase kinase 9 [Source:NCBI gene;Acc:101169326],highSexFst
22,25284472,25299890,ENSORLG00020008481,NA,NA,NA,NA,NA,NA,NA,highSexFst
22,25277255,25279267,ENSORLG00020008515,NA,NA,NA,NA,NA,NA,NA,highSexFst
22,25258663,25265528,ENSORLG00020008541,NA,description:cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726],ENSORLG00000018198,25844380,25851146,NA,description:cell division cycle 25B [Source:NCBI gene;Acc:101168663],highSexFst
23,1558147,1572548,ENSORLG00020005491,NA,NA,NA,NA,NA,NA,NA,highSexFst
