"Strain","reference","CHROM","cM","POS_pred"
"OFAM","HdrR_ASM223467v1",1,27,13772079.8042062
"OFAM","HdrR_ASM223467v1",1,28,14442031.3430618
"OFAM","HdrR_ASM223467v1",1,29,15125592.8360853
"OFAM","HdrR_ASM223467v1",1,30,15820953.4358833
"OFAM","HdrR_ASM223467v1",1,31,16526302.1459207
"OFAM","HdrR_ASM223467v1",1,32,17239803.6917796
"OFAM","HdrR_ASM223467v1",1,33,17959571.8569465
"OFAM","HdrR_ASM223467v1",1,34,18683714.0063587
"OFAM","HdrR_ASM223467v1",1,35,19410342.3431243
"OFAM","HdrR_ASM223467v1",1,36,20137585.8814657
"OFAM","HdrR_ASM223467v1",1,37,20863609.9418084
"OFAM","HdrR_ASM223467v1",1,38,21586701.6542221
"OFAM","HdrR_ASM223467v1",1,39,22305348.0052669
"OFAM","HdrR_ASM223467v1",1,40,23018238.7207251
"OFAM","HdrR_ASM223467v1",1,41,23724113.4025885
"OFAM","HdrR_ASM223467v1",1,42,24421836.4752843
"OFAM","HdrR_ASM223467v1",1,43,25110493.5147469
"OFAM","HdrR_ASM223467v1",1,44,25789344.1433843
"OFAM","HdrR_ASM223467v1",1,45,26457784.2650301
"OFAM","HdrR_ASM223467v1",1,46,27115396.2612587
"OFAM","HdrR_ASM223467v1",1,47,27762158.933601
"OFAM","HdrR_ASM223467v1",1,48,28398238.7029356
"OFAM","HdrR_ASM223467v1",1,49,29023815.8490363
"OFAM","HdrR_ASM223467v1",1,50,29639070.8064711
"OFAM","HdrR_ASM223467v1",1,51,30244243.567045
"OFAM","HdrR_ASM223467v1",1,52,30839796.8259733
"OFAM","HdrR_ASM223467v1",1,53,31426338.1780796
"OFAM","HdrR_ASM223467v1",1,54,32004486.1560844
"OFAM","HdrR_ASM223467v1",1,55,32574859.2927085
"OFAM","HdrR_ASM223467v1",1,56,33138087.7705855
"OFAM","HdrR_ASM223467v1",1,57,33694861.6820236
"OFAM","HdrR_ASM223467v1",1,58,34245910.5919654
"OFAM","HdrR_ASM223467v1",1,59,34791975.195793
"AFOM","HdrR_ASM223467v1",2,0,2129489.79960947
"AFOM","HdrR_ASM223467v1",2,1,2659292.72647658
"AFOM","HdrR_ASM223467v1",2,2,3188804.59235063
"AFOM","HdrR_ASM223467v1",2,3,3717734.33623854
"AFOM","HdrR_ASM223467v1",2,4,4245790.89714727
"AFOM","HdrR_ASM223467v1",2,5,4772683.21408375
"AFOM","HdrR_ASM223467v1",2,6,5298120.2260549
"AFOM","HdrR_ASM223467v1",2,7,5821810.87206768
"AFOM","HdrR_ASM223467v1",2,8,6343464.09112902
"AFOM","HdrR_ASM223467v1",2,9,6862788.82224584
"AFOM","HdrR_ASM223467v1",2,10,7379494.0044251
"AFOM","HdrR_ASM223467v1",2,11,7893288.57667372
"AFOM","HdrR_ASM223467v1",2,12,8403881.47799865
"AFOM","HdrR_ASM223467v1",2,13,8910981.64740682
"AFOM","HdrR_ASM223467v1",2,14,9414298.02390516
"AFOM","HdrR_ASM223467v1",2,15,9913539.54650061
"AFOM","HdrR_ASM223467v1",2,16,10408415.1542001
"AFOM","HdrR_ASM223467v1",2,17,10898633.7860106
"AFOM","HdrR_ASM223467v1",2,18,11383898.4387875
"AFOM","HdrR_ASM223467v1",2,19,11863831.5156547
"AFOM","HdrR_ASM223467v1",2,20,12337933.7316201
"AFOM","HdrR_ASM223467v1",2,21,12805617.6435055
"AFOM","HdrR_ASM223467v1",2,22,13266270.0183943
"AFOM","HdrR_ASM223467v1",2,23,13719286.1645951
"AFOM","HdrR_ASM223467v1",2,24,14164109.2502633
"AFOM","HdrR_ASM223467v1",2,25,14600253.3178835
"AFOM","HdrR_ASM223467v1",2,26,15027245.7283025
"AFOM","HdrR_ASM223467v1",2,27,15444761.5053044
"AFOM","HdrR_ASM223467v1",2,28,15852617.025416
"AFOM","HdrR_ASM223467v1",2,29,16250732.3556781
"AFOM","HdrR_ASM223467v1",2,30,16639310.4554768
"AFOM","HdrR_ASM223467v1",2,31,17018605.0118501
"AFOM","HdrR_ASM223467v1",2,32,17388869.7118356
"AFOM","HdrR_ASM223467v1",2,33,17750358.2424713
"AFOM","HdrR_ASM223467v1",2,34,18103324.2907948
"AFOM","HdrR_ASM223467v1",2,35,18448021.9938888
"AFOM","HdrR_ASM223467v1",2,36,18784842.1847213
"AFOM","HdrR_ASM223467v1",2,37,19114678.4816824
"AFOM","HdrR_ASM223467v1",2,38,19438615.7321302
"AFOM","HdrR_ASM223467v1",2,39,19757741.5722584
"AFOM","HdrR_ASM223467v1",2,40,20073143.6382609
"AFOM","HdrR_ASM223467v1",2,41,20385909.5663315
"AFOM","HdrR_ASM223467v1",2,42,20697119.7807665
"AFOM","HdrR_ASM223467v1",2,43,21007669.4248656
"OFAM","HdrR_ASM223467v1",2,0,2577718.43752263
"OFAM","HdrR_ASM223467v1",2,1,3038782.67359436
"OFAM","HdrR_ASM223467v1",2,2,3499846.90966609
"OFAM","HdrR_ASM223467v1",2,3,3960911.14573782
"OFAM","HdrR_ASM223467v1",2,4,4421975.38180954
"OFAM","HdrR_ASM223467v1",2,5,4883039.61788125
"OFAM","HdrR_ASM223467v1",2,6,5344103.85395296
"OFAM","HdrR_ASM223467v1",2,7,5805168.09002466
"OFAM","HdrR_ASM223467v1",2,8,6266232.32609635
"OFAM","HdrR_ASM223467v1",2,9,6727296.56216802
"OFAM","HdrR_ASM223467v1",2,10,7188360.79823969
"OFAM","HdrR_ASM223467v1",2,11,7649425.03431133
"OFAM","HdrR_ASM223467v1",2,12,8110489.27038296
"OFAM","HdrR_ASM223467v1",2,13,8571553.50645457
"OFAM","HdrR_ASM223467v1",2,14,9032617.74252616
"OFAM","HdrR_ASM223467v1",2,15,9493681.97859772
"OFAM","HdrR_ASM223467v1",2,16,9954746.21466926
"OFAM","HdrR_ASM223467v1",2,17,10415810.4507408
"OFAM","HdrR_ASM223467v1",2,18,10876874.6868123
"OFAM","HdrR_ASM223467v1",2,19,11337938.9228837
"OFAM","HdrR_ASM223467v1",2,20,11799003.1589552
"OFAM","HdrR_ASM223467v1",2,21,12260067.3950266
"OFAM","HdrR_ASM223467v1",2,22,12721131.6310979
"OFAM","HdrR_ASM223467v1",2,23,13182195.8671692
"OFAM","HdrR_ASM223467v1",2,24,13643260.1032405
"OFAM","HdrR_ASM223467v1",2,25,14104324.3393117
"OFAM","HdrR_ASM223467v1",2,26,14565388.5753828
"OFAM","HdrR_ASM223467v1",2,27,15026452.8114539
"OFAM","HdrR_ASM223467v1",2,28,15487517.0475249
"OFAM","HdrR_ASM223467v1",2,29,15948581.2835959
"OFAM","HdrR_ASM223467v1",2,30,16409645.5196668
"OFAM","HdrR_ASM223467v1",2,31,16870709.7557376
"OFAM","HdrR_ASM223467v1",2,32,17331773.9918084
"OFAM","HdrR_ASM223467v1",2,33,17792838.2278791
"OFAM","HdrR_ASM223467v1",2,34,18253902.4639498
"OFAM","HdrR_ASM223467v1",2,35,18714966.7000204
"OFAM","HdrR_ASM223467v1",2,36,19176030.936091
"OFAM","HdrR_ASM223467v1",2,37,19637095.1721615
"OFAM","HdrR_ASM223467v1",2,38,20098159.4082319
"OFAM","HdrR_ASM223467v1",2,39,20559223.6443024
"OFAM","HdrR_ASM223467v1",2,40,21020287.8803728
"OFAM","HdrR_ASM223467v1",2,41,21481352.1164432
"OFAM","HdrR_ASM223467v1",2,42,21942416.3525136
"AFOM","HdrR_ASM223467v1",3,0,3121790.10928843
"AFOM","HdrR_ASM223467v1",3,1,4154595.9664297
"AFOM","HdrR_ASM223467v1",3,2,5184221.85233472
"AFOM","HdrR_ASM223467v1",3,3,6205897.69396346
"AFOM","HdrR_ASM223467v1",3,4,7213361.57346677
"AFOM","HdrR_ASM223467v1",3,5,8200266.0397286
"AFOM","HdrR_ASM223467v1",3,6,9160934.64360053
"AFOM","HdrR_ASM223467v1",3,7,10090898.7409374
"AFOM","HdrR_ASM223467v1",3,8,10986595.5100455
"AFOM","HdrR_ASM223467v1",3,9,11845474.6947721
"AFOM","HdrR_ASM223467v1",3,10,12666190.2652219
"AFOM","HdrR_ASM223467v1",3,11,13450170.7560825
"AFOM","HdrR_ASM223467v1",3,12,14199575.3859195
"AFOM","HdrR_ASM223467v1",3,13,14916565.5939633
"AFOM","HdrR_ASM223467v1",3,14,15603302.8194442
"AFOM","HdrR_ASM223467v1",3,15,16261948.5015926
"AFOM","HdrR_ASM223467v1",3,16,16894664.0796389
"AFOM","HdrR_ASM223467v1",3,17,17503611.140504
"AFOM","HdrR_ASM223467v1",3,18,18091313.445601
"AFOM","HdrR_ASM223467v1",3,19,18661517.6270312
"AFOM","HdrR_ASM223467v1",3,20,19218232.4289027
"AFOM","HdrR_ASM223467v1",3,21,19765466.5953236
"AFOM","HdrR_ASM223467v1",3,22,20307228.8704022
"AFOM","HdrR_ASM223467v1",3,23,20847527.9982466
"AFOM","HdrR_ASM223467v1",3,24,21390372.7229648
"AFOM","HdrR_ASM223467v1",3,25,21939771.7886651
"AFOM","HdrR_ASM223467v1",3,26,22499733.9394556
"AFOM","HdrR_ASM223467v1",3,27,23074264.0794741
"AFOM","HdrR_ASM223467v1",3,28,23666762.0401636
"AFOM","HdrR_ASM223467v1",3,29,24278898.4637378
"AFOM","HdrR_ASM223467v1",3,30,24910902.8600599
"AFOM","HdrR_ASM223467v1",3,31,25562341.1077795
"AFOM","HdrR_ASM223467v1",3,32,26230794.7595774
"AFOM","HdrR_ASM223467v1",3,33,26913278.2369779
"AFOM","HdrR_ASM223467v1",3,34,27606810.3842412
"AFOM","HdrR_ASM223467v1",3,35,28308512.2526727
"AFOM","HdrR_ASM223467v1",3,36,29015604.2093063
"AFOM","HdrR_ASM223467v1",3,37,29725310.809794
"OFAM","HdrR_ASM223467v1",3,0,2519440.07595853
"OFAM","HdrR_ASM223467v1",3,1,3683132.88336559
"OFAM","HdrR_ASM223467v1",3,2,4840762.44124028
"OFAM","HdrR_ASM223467v1",3,3,5983287.80892298
"OFAM","HdrR_ASM223467v1",3,4,7098889.03526463
"OFAM","HdrR_ASM223467v1",3,5,8175603.27354133
"OFAM","HdrR_ASM223467v1",3,6,9203091.20833954
"OFAM","HdrR_ASM223467v1",3,7,10173858.4958466
"OFAM","HdrR_ASM223467v1",3,8,11082415.182063
"OFAM","HdrR_ASM223467v1",3,9,11925473.0559227
"OFAM","HdrR_ASM223467v1",3,10,12702292.7054161
"OFAM","HdrR_ASM223467v1",3,11,13417978.7917898
"OFAM","HdrR_ASM223467v1",3,12,14079171.2058876
"OFAM","HdrR_ASM223467v1",3,13,14692514.499692
"OFAM","HdrR_ASM223467v1",3,14,15264653.2251852
"OFAM","HdrR_ASM223467v1",3,15,15802231.9343494
"OFAM","HdrR_ASM223467v1",3,16,16311895.179167
"OFAM","HdrR_ASM223467v1",3,17,16800287.6768283
"OFAM","HdrR_ASM223467v1",3,18,17274451.2845616
"OFAM","HdrR_ASM223467v1",3,19,17742764.6517882
"OFAM","HdrR_ASM223467v1",3,20,18213892.0542358
"OFAM","HdrR_ASM223467v1",3,21,18696497.7676316
"OFAM","HdrR_ASM223467v1",3,22,19199246.0677031
"OFAM","HdrR_ASM223467v1",3,23,19730801.2301778
"OFAM","HdrR_ASM223467v1",3,24,20299827.5307829
"OFAM","HdrR_ASM223467v1",3,25,20914989.245246
"OFAM","HdrR_ASM223467v1",3,26,21584950.6492945
"OFAM","HdrR_ASM223467v1",3,27,22318365.0751078
"OFAM","HdrR_ASM223467v1",3,28,23122161.5047518
"OFAM","HdrR_ASM223467v1",3,29,23998372.9943568
"OFAM","HdrR_ASM223467v1",3,30,24945012.916271
"OFAM","HdrR_ASM223467v1",3,31,25958320.7050059
"OFAM","HdrR_ASM223467v1",3,32,27029338.3689293
"OFAM","HdrR_ASM223467v1",3,33,28147623.116626
"OFAM","HdrR_ASM223467v1",3,34,29302759.4732418
"AFOM","HdrR_ASM223467v1",4,0,1018855.40553948
"AFOM","HdrR_ASM223467v1",4,1,1379186.48062535
"AFOM","HdrR_ASM223467v1",4,2,1740231.14408484
"AFOM","HdrR_ASM223467v1",4,3,2102802.83851909
"AFOM","HdrR_ASM223467v1",4,4,2468117.99886285
"AFOM","HdrR_ASM223467v1",4,5,2837568.05813182
"AFOM","HdrR_ASM223467v1",4,6,3212548.9759123
"AFOM","HdrR_ASM223467v1",4,7,3594456.71179061
"AFOM","HdrR_ASM223467v1",4,8,3984687.22535302
"AFOM","HdrR_ASM223467v1",4,9,4384636.47618587
"AFOM","HdrR_ASM223467v1",4,10,4795700.42387545
"AFOM","HdrR_ASM223467v1",4,11,5219275.02800805
"AFOM","HdrR_ASM223467v1",4,12,5656756.24817
"AFOM","HdrR_ASM223467v1",4,13,6109540.04394758
"AFOM","HdrR_ASM223467v1",4,14,6579022.37492711
"AFOM","HdrR_ASM223467v1",4,15,7066599.20069489
"AFOM","HdrR_ASM223467v1",4,16,7573666.48083722
"AFOM","HdrR_ASM223467v1",4,17,8101620.17494041
"AFOM","HdrR_ASM223467v1",4,18,8651856.24259075
"AFOM","HdrR_ASM223467v1",4,19,9225770.64337456
"AFOM","HdrR_ASM223467v1",4,20,9824759.33687814
"AFOM","HdrR_ASM223467v1",4,21,10450071.488643
"AFOM","HdrR_ASM223467v1",4,22,11102188.4526445
"AFOM","HdrR_ASM223467v1",4,23,11781323.2549093
"AFOM","HdrR_ASM223467v1",4,24,12487235.1835418
"AFOM","HdrR_ASM223467v1",4,25,13218681.10328
"AFOM","HdrR_ASM223467v1",4,26,13973438.8281491
"AFOM","HdrR_ASM223467v1",4,27,14748566.3234441
"AFOM","HdrR_ASM223467v1",4,28,15540729.6857111
"AFOM","HdrR_ASM223467v1",4,29,16346384.2540545
"AFOM","HdrR_ASM223467v1",4,30,17161897.9695754
"AFOM","HdrR_ASM223467v1",4,31,17983637.0714564
"AFOM","HdrR_ASM223467v1",4,32,18808030.8657342
"AFOM","HdrR_ASM223467v1",4,33,19631978.1555517
"AFOM","HdrR_ASM223467v1",4,34,20452910.0552861
"AFOM","HdrR_ASM223467v1",4,35,21268346.0075012
"AFOM","HdrR_ASM223467v1",4,36,22076111.0377405
"AFOM","HdrR_ASM223467v1",4,37,22874566.2579204
"AFOM","HdrR_ASM223467v1",4,38,23662581.3926569
"AFOM","HdrR_ASM223467v1",4,39,24440032.9184832
"AFOM","HdrR_ASM223467v1",4,40,25207723.1924503
"AFOM","HdrR_ASM223467v1",4,41,25966564.9434728
"AFOM","HdrR_ASM223467v1",4,42,26717689.9448234
"AFOM","HdrR_ASM223467v1",4,43,27462429.7950642
"OFAM","HdrR_ASM223467v1",4,0,1990338.42358801
"OFAM","HdrR_ASM223467v1",4,1,2307358.77738211
"OFAM","HdrR_ASM223467v1",4,2,2625192.47157146
"OFAM","HdrR_ASM223467v1",4,3,2944766.7746963
"OFAM","HdrR_ASM223467v1",4,4,3267465.59505927
"OFAM","HdrR_ASM223467v1",4,5,3594869.32309356
"OFAM","HdrR_ASM223467v1",4,6,3928563.40084209
"OFAM","HdrR_ASM223467v1",4,7,4270133.27034779
"OFAM","HdrR_ASM223467v1",4,8,4621164.37365356
"OFAM","HdrR_ASM223467v1",4,9,4983242.15280236
"OFAM","HdrR_ASM223467v1",4,10,5357952.04983709
"OFAM","HdrR_ASM223467v1",4,11,5746879.50680068
"OFAM","HdrR_ASM223467v1",4,12,6151609.96573607
"OFAM","HdrR_ASM223467v1",4,13,6573728.86868617
"OFAM","HdrR_ASM223467v1",4,14,7014821.6576939
"OFAM","HdrR_ASM223467v1",4,15,7476473.77480221
"OFAM","HdrR_ASM223467v1",4,16,7960270.662054
"OFAM","HdrR_ASM223467v1",4,17,8467797.76149222
"OFAM","HdrR_ASM223467v1",4,18,9000640.51515977
"OFAM","HdrR_ASM223467v1",4,19,9560384.36509959
"OFAM","HdrR_ASM223467v1",4,20,10148614.7533546
"OFAM","HdrR_ASM223467v1",4,21,10766679.6303747
"OFAM","HdrR_ASM223467v1",4,22,11414684.7382335
"OFAM","HdrR_ASM223467v1",4,23,12092302.2142202
"OFAM","HdrR_ASM223467v1",4,24,12798483.3062883
"OFAM","HdrR_ASM223467v1",4,25,13530606.0493732
"OFAM","HdrR_ASM223467v1",4,26,14284537.7844119
"OFAM","HdrR_ASM223467v1",4,27,15055105.4624727
"OFAM","HdrR_ASM223467v1",4,28,15836601.8607889
"OFAM","HdrR_ASM223467v1",4,29,16623175.4199975
"OFAM","HdrR_ASM223467v1",4,30,17408933.6062814
"OFAM","HdrR_ASM223467v1",4,31,18187983.4979137
"OFAM","HdrR_ASM223467v1",4,32,18954570.0164089
"OFAM","HdrR_ASM223467v1",4,33,19703954.1492333
"OFAM","HdrR_ASM223467v1",4,34,20432527.7069172
"OFAM","HdrR_ASM223467v1",4,35,21136868.1263648
"OFAM","HdrR_ASM223467v1",4,36,21814155.8308313
"OFAM","HdrR_ASM223467v1",4,37,22462627.5942499
"OFAM","HdrR_ASM223467v1",4,38,23081492.5335696
"OFAM","HdrR_ASM223467v1",4,39,23671846.4662924
"OFAM","HdrR_ASM223467v1",4,40,24236496.1698926
"OFAM","HdrR_ASM223467v1",4,41,24778447.1404597
"OFAM","HdrR_ASM223467v1",4,42,25301024.6962151
"OFAM","HdrR_ASM223467v1",4,43,25807812.3075309
"OFAM","HdrR_ASM223467v1",4,44,26302275.2582093
"OFAM","HdrR_ASM223467v1",4,45,26787835.1913374
"OFAM","HdrR_ASM223467v1",4,46,27267913.7124305
"OFAM","HdrR_ASM223467v1",4,47,27745896.4746021
"AFOM","HdrR_ASM223467v1",5,0,1843195.9163059
"AFOM","HdrR_ASM223467v1",5,1,2245391.94550897
"AFOM","HdrR_ASM223467v1",5,2,2648799.39913147
"AFOM","HdrR_ASM223467v1",5,3,3054629.70159285
"AFOM","HdrR_ASM223467v1",5,4,3464108.04534039
"AFOM","HdrR_ASM223467v1",5,5,3878803.97549338
"AFOM","HdrR_ASM223467v1",5,6,4300701.98831887
"AFOM","HdrR_ASM223467v1",5,7,4731816.72227242
"AFOM","HdrR_ASM223467v1",5,8,5174121.32629768
"AFOM","HdrR_ASM223467v1",5,9,5629468.17958782
"AFOM","HdrR_ASM223467v1",5,10,6099493.40096282
"AFOM","HdrR_ASM223467v1",5,11,6585676.70315513
"AFOM","HdrR_ASM223467v1",5,12,7089407.10382653
"AFOM","HdrR_ASM223467v1",5,13,7611305.1389535
"AFOM","HdrR_ASM223467v1",5,14,8151585.49324525
"AFOM","HdrR_ASM223467v1",5,15,8710458.99912667
"AFOM","HdrR_ASM223467v1",5,16,9288136.48902262
"AFOM","HdrR_ASM223467v1",5,17,9884828.795358
"AFOM","HdrR_ASM223467v1",5,18,10500722.798246
"AFOM","HdrR_ASM223467v1",5,19,11135546.1489325
"AFOM","HdrR_ASM223467v1",5,20,11788290.0678946
"AFOM","HdrR_ASM223467v1",5,21,12457380.7598403
"AFOM","HdrR_ASM223467v1",5,22,13140635.2048333
"AFOM","HdrR_ASM223467v1",5,23,13835810.5568636
"AFOM","HdrR_ASM223467v1",5,24,14540663.9699209
"AFOM","HdrR_ASM223467v1",5,25,15252952.5979952
"AFOM","HdrR_ASM223467v1",5,26,15970426.1982896
"AFOM","HdrR_ASM223467v1",5,27,16690801.2420494
"AFOM","HdrR_ASM223467v1",5,28,17411815.002481
"AFOM","HdrR_ASM223467v1",5,29,18131266.261873
"AFOM","HdrR_ASM223467v1",5,30,18847090.9385326
"AFOM","HdrR_ASM223467v1",5,31,19557341.8101744
"AFOM","HdrR_ASM223467v1",5,32,20260512.867752
"AFOM","HdrR_ASM223467v1",5,33,20955447.1389593
"AFOM","HdrR_ASM223467v1",5,34,21641320.5503173
"AFOM","HdrR_ASM223467v1",5,35,22317648.0681214
"AFOM","HdrR_ASM223467v1",5,36,22984258.2244359
"AFOM","HdrR_ASM223467v1",5,37,23641334.9713437
"AFOM","HdrR_ASM223467v1",5,38,24289129.6880707
"AFOM","HdrR_ASM223467v1",5,39,24927893.7538426
"AFOM","HdrR_ASM223467v1",5,40,25557878.9118394
"AFOM","HdrR_ASM223467v1",5,41,26179431.8431607
"AFOM","HdrR_ASM223467v1",5,42,26793204.9514544
"AFOM","HdrR_ASM223467v1",5,43,27400088.1217975
"AFOM","HdrR_ASM223467v1",5,44,28001163.1968138
"AFOM","HdrR_ASM223467v1",5,45,28597581.4338033
"AFOM","HdrR_ASM223467v1",5,46,29190495.3247275
"AFOM","HdrR_ASM223467v1",5,47,29781057.3615475
"AFOM","HdrR_ASM223467v1",5,48,30370390.7456193
"AFOM","HdrR_ASM223467v1",5,49,30959321.8664459
"OFAM","HdrR_ASM223467v1",5,0,1556127.26460055
"OFAM","HdrR_ASM223467v1",5,1,1925401.96465341
"OFAM","HdrR_ASM223467v1",5,2,2296430.88792282
"OFAM","HdrR_ASM223467v1",5,3,2670968.25762535
"OFAM","HdrR_ASM223467v1",5,4,3050787.56897755
"OFAM","HdrR_ASM223467v1",5,5,3438143.18193781
"OFAM","HdrR_ASM223467v1",5,6,3835867.94192395
"OFAM","HdrR_ASM223467v1",5,7,4246836.59242884
"OFAM","HdrR_ASM223467v1",5,8,4673853.07736037
"OFAM","HdrR_ASM223467v1",5,9,5119516.79483137
"OFAM","HdrR_ASM223467v1",5,10,5586081.91392217
"OFAM","HdrR_ASM223467v1",5,11,6075554.42192447
"OFAM","HdrR_ASM223467v1",5,12,6589800.07744833
"OFAM","HdrR_ASM223467v1",5,13,7129497.99354177
"OFAM","HdrR_ASM223467v1",5,14,7694700.6015744
"OFAM","HdrR_ASM223467v1",5,15,8285454.38487308
"OFAM","HdrR_ASM223467v1",5,16,8901805.82676472
"OFAM","HdrR_ASM223467v1",5,17,9543801.4105762
"OFAM","HdrR_ASM223467v1",5,18,10211451.5228404
"OFAM","HdrR_ASM223467v1",5,19,10904074.9982524
"OFAM","HdrR_ASM223467v1",5,20,11619883.6210952
